name,description
Ælle of Sussex,"Ælle is recorded in early sources as the first king of the South Saxons, reigning in what is now called Sussex, England, from 477 to perhaps as late as 514. According to the Anglo Saxon Chronicle, Ælle and three of his sons are said to have landed at a place called Cymensora and fought against the local Britons. The chronicle goes on to report a victory in 491, at present day Pevensey, where the battle ended with the Saxons slaughtering their opponents to the last man. Ælle was the first king recorded by the 8th century chronicler Bede to have held ""imperium"", or overlordship, over other Anglo-Saxon kingdoms. In the late 9th-century Anglo-Saxon Chronicle (around four hundred years after his time) Ælle is recorded as being the first bretwalda, or ""Britain-ruler"", though there is no evidence that this was a contemporary title. Ælle's death is not recorded and although he may have been the founder of a South Saxon dynasty, there is no firm evidence linking him with later South Saxon rulers. The 12th-century chronicler Henry of Huntingdon produced an enhanced version of the Anglo-Saxon Chronicle that included 514 as the date of Ælle's death, but this is not secure."
Æthelbald of Mercia,"Æthelbald (also spelled Ethelbald, or Aethelbald) (died 757) was the King of Mercia, in what is now the English Midlands, from 716 until 757. During his long reign, Mercia became the dominant kingdom of the Anglo-Saxons, and recovered the position of pre-eminence it had enjoyed during the seventh century under the strong Mercian kings Penda and Wulfhere. Mercian domination of England continued until the end of the eighth century; Offa, the grandson of Æthelbald's cousin Eanwulf, ruled for an additional thirty-nine years, starting shortly after Æthelbald's murder. Æthelbald came to the throne on the death of his cousin, King Ceolred. Both Wessex and Kent were ruled by strong kings at that time, but within fifteen years the contemporary chronicler Bede describes Æthelbald as ruling all England south of the river Humber. The Anglo-Saxon Chronicle does not list Æthelbald as a bretwalda, or ""Ruler of Britain"", though this may be due to the West Saxon origin of the Chronicle. St Boniface wrote to Æthelbald in about 745, reproving him for various dissolute and irreligious acts. The subsequent 747 council of Clovesho, and a charter Æthelbald issued at Gumley in 749—which freed the church from some of its obligations—may have been responses to Boniface's letter. Æthelbald was killed in 757 by his bodyguards. He was succeeded briefly by Beornrad, of whom little is known, but within a year Offa had seized the throne."
Æthelbald of Wessex,"King Æthelbald of Wessex or Ethelbald (Old English: Æþelbald; means roughly 'Noble Bold') was King of Wessex from 858 to 860. He was the second of the five sons of King Æthelwulf of Wessex and Osburh. He witnessed his father's charters as a kings' son in the 840s, and in 850 he received the rank of Ealdorman. In 855 he became regent of Wessex while his father, Æthelwulf, visited Rome, his elder brother Æthelstan having died in 851 or shortly after. His younger brother Æthelbert became king of Kent. Æthelwulf returned a year later, having taken as his second wife, the Carolingian King Charles the Bald's thirteen-year-old daughter Judith. According to Alfred the Great's biographer, Asser, during Æthelwulf's absence there may have been a plot hatched to prevent the king's return either by Æthelbald, or by Ealhstan, Bishop of Sherborne and Eanwulf, Ealdorman of Somerset, or by all three. It is probable that Æthelbald was involved in such a plot due to hearing about his father's marriage to Judith. The marriage to a Frankish princess who had her own royal lineage could have produced heirs more throne-worthy than Æthelbald. To avoid a civil war, Æthelwulf allowed Æthelbald to continue to rule Wessex itself (or the western part of Wessex) while he took Kent and the other eastern parts of the kingdom. The absence of any coins in Æthelbald's name during this period suggests the coinage continued to be in Æthelwulf's name until his death. After Æthelwulf's death, Æthelbald became the king of Wessex, while Æthelbert again became king of Kent. Æthelbald then married his father's widow, Judith, to Asser's horror. Little is known of his reign and only one charter survives, witnessed by king Æthelbald, king Æthelbert and Judith, suggesting that he was on good terms with his brother. Æthelbald died at Sherborne in Dorset on 20 December 860, aged around 26 or 27. Asser, who was hostile to Æthelbald both because of his revolt against his father and because of his uncanonical marriage, described him as ""iniquitous and grasping"", and his reign ""two and a half lawless years""."
Æthelberht II of East Anglia,"Æthelberht, also called Saint Ethelbert the King, (died 20 May 794 at Sutton Walls, Herefordshire) was an eighth-century saint and a king of East Anglia, the Anglo-Saxon kingdom which today includes the English counties of Norfolk and Suffolk. Little is known of his reign, which may have begun in 779, according to later sources, and very few of the coins issued during his reign have been discovered. It is known from the Anglo-Saxon Chronicle that he was killed on the orders of Offa of Mercia in 794. He was subsequently canonised and became the focus of cults in East Anglia and at Hereford, where the shrine of the saintly king once existed. In the absence of historical facts, mediaeval chroniclers provided their own details for Æthelberht's ancestry, life as king and death at the hands of Offa. His feast day is May 20. Several Norfolk, Suffolk and West Country parish churches are dedicated to the saint."
Æthelthryth,"Æthelthryth (or Æðelþryð; about 636 – June 23, 679) is the name for the Anglo-Saxon saint known, particularly in a religious context, as Etheldreda or Audrey. She was an East Anglian princess, a Fenland and Northumbrian queen and Abbess of Ely."
Æthelwold of East Anglia,"Æthelwold, also known as Æthelwald or Æþelwald, was a 7th century king of East Anglia, the long-lived Anglo-Saxon kingdom which today includes the English counties of Norfolk and Suffolk. He was a member of the Wuffingas dynasty, which ruled East Anglia from their regio (centre of royal authority) at Rendlesham. The two Anglo-Saxon cemeteries at Sutton Hoo, the monastery at Iken, the East Anglian see at Dommoc and the emerging port of Ipswich were all in the vicinity of Rendlesham. Æthelwold lived during a time of political and religious upheaval in East Anglia, whose Christian kings in the decades prior to his succession all died violent deaths, having proved unworthy of the task of defending the newly converted kingdom against attacks from its neighbouring kingdom, Mercia, led by its pagan king, Penda. Æthelwold was the last of the nephews of Rædwald to rule East Anglia. He died in 664 and was succeeded by Ealdwulf, the son of his brother Æthelric. Few records relating to East Anglia have survived and almost nothing is known of Æthelwold's life or reign. He succeeded his elder brother Æthelhere, after Æthelhere was killed with Penda of Mercia at the Battle of the Winwæd in about 655. During his rule he witnessed a setback in the aspirations of Mercia to dominate its neighbours, following the Battle of the Winwæd and the murder of Penda's son, Peada. He was king during the last decade of the co-existence in England of the Christian Roman rite, centred at Canterbury, and the Celtic rite based in Northumbria. At the Synod of Whitby, in 664, the Roman cause prevailed and the division of ecclesiastical authorities ceased. In 662, Swithelm of Essex was persuaded to adopt Christianity and was baptised at Rendlesham, with Æthelwold present as his sponsor. East Anglia became more closely allied to Northumbria, Kent and lands in the Fens by means of royal marriages such as that between the Northumbrian Hereswitha and the East Anglian Æthilric."
Çağan Irmak,"Çağan Irmak is a Turkish film and television writer and director, who has managed to attract a large audience in Turkey and is best known for the TV series Çemberimde Gül Oya (2004–2005) and Asmalı Konak (2002–2004), and for the hit films Alone (2008) and My Father and My Son (2005), for which he received Turkish Cinema Writers Association Awards for Best Film, Best Screenplay and Best Director. He studied Radio, TV and Film Studies at Ege University Faculty of Communications, receiving the Sedat Simavi Award for two short films, Masal (The Tale) and Kurban (The Sacrifice), which he made in the course of his studies. After graduating in 1992, he worked in cinema and television as an assistant director to Orhan Oğuz, Mahinur Ergun, Filiz Kaynak and Yusuf Kurçenli, and was awarded first prize by IFSAK for his short film Play Me Old and Wise (1998). He wrote and directed the TV series Good Morning Brother Istanbul (1998–2001) on atv, and the TV film Strawberry Cake (2000) before achieving some early success with his first feature film, Wish Me Luck (2001), which Rekin Teksoy describes as ""unremarkable"", and collaborations with Mahinur Ergun on the hit TV series Şaşıfelek Çıkmazı (2001) for TRT, and Asmalı Konak (2002–2004) for atv, for which he received numerous awards. A period of great success followed with popular TV series Çemberimde Gül Oya (2004–2005) on Kanal D, and hit films Everything About Mustafa (2004) and My Father and My Son (2005), which according to Rekin Teksoy ""successfully exploited the melodramatic idiom and was a huge box-office success,"" which, ""showed that popular cinema was successful in appealing to wide audiences"" as well as receiving six Turkish Cinema Writers Association Awards including Best Director. Following this he wrote and directed several installment in the TV horror film series Kabuslar Evi for FOX, and the film The Messenger before achieving another popular success with the film Alone (2008). Since then he has made the short film Düşlerimdeki Atatürk (2008), the TV series Yol Arkadaşım (2008–2009) for Star and the film In Darkness (2009). His latest film is Sleeping Princess (2010)."
Ève Curie,"Ève Denise Curie Labouisse (December 6, 1904 – October 22, 2007) was a French and American writer, journalist and pianist. Ève Curie was the younger daughter of Marie Curie and Pierre Curie. Her sister was Irène Joliot-Curie and her brother-in-law Frédéric Joliot-Curie. Ève was the only member of her family who did not choose a career as a scientist and did not win a Nobel Prize, although her husband Henry Richardson Labouisse, Jr. did collect the Nobel Peace Prize in 1965 on behalf of UNICEF. She worked as a journalist and authored her mother's biography Madame Curie and a book of war reportage, Journey Among Warriors. From the 1960s she committed herself to work for UNICEF, providing help to children and mothers in developing countries."
Édgar Barreto,"Édgar Osvaldo Barreto Cáceres (born 15 July 1984 in Asunción) is a Paraguayan footballer who currently plays for Italian Serie A club Palermo. Édgar is the brother of fellow Paraguayan goalkeeper, Diego Barreto."
Édika,"Édika is the nom de plume of Édouard Karali, a French comics artist, born December 17, 1940 in Heliopolis, Egypt, who is renowned for his distinctively absurd style. A number of his comic strips have been translated into English, Spanish, Italian (in the magazine Totem comic), German (published by Alpha Comics), Swedish (published by Epix) and Greek (in the magazines Babel and Para Pente)."
Édouard-Alfred Martel,"Édouard-Alfred Martel, the 'father of modern speleology', was a world pioneer of cave exploration, study, and documentation. Martel explored thousands of caves in his native France and many other countries, popularised the pursuit of cave exploration, introduced the concept of speleology as a distinct area of study, maintained an extensive archive, and in 1895 founded Société de Spéléologie, the first organisation devoted to cave science in the world."
Édouard Adolphe Casimir Joseph Mortier,"Édouard Adolphe Casimir Joseph Mortier, 1st Duc de Trévise (13 February 1768 – 28 July 1835) was a French general and Marshal of France under Napoleon I."
Édouard Chatton,"Édouard Chatton (born 1883; died 1947, Banyuls-sur-Mer) was a French biologist who first characterized the distinction between the eukaryotic and prokaryotic systems of cellular organisation. Chatton coined the terms in his 1925 paper, Pansporella perplex: Reflections on the Biology and Phylogeny of the Protozoa. Chatton's initial interest was in various human pathogenic protozoa, members of the Apicomplexa and Trypanosomatids. He later expanded his studies to include marine protists. At the Pasteur Institute he met and became a mentor to André Michel Lwoff, future Nobel Laureate in Physiology or Medicine. The two scientists remained close associates until Chatton's death in 1947."
Édouard Cortès,"Édouard Leon Cortès (1882–1969) was a French post-impressionist artist of French and Spanish ancestry. He is known as ""Le Poete Parisien de la Peinture"" or ""the Parisian Poet of Painting"" because of his diverse Paris cityscapes in a variety of weather and night settings."
Édouard Goursat,"Édouard Jean-Baptiste Goursat (21 May 1858 – 25 November 1936) was a French mathematician, now remembered principally as an expositor for his Cours d'analyse mathématique, which appeared in the first decade of the twentieth century. It set a standard for the high-level teaching of mathematical analysis, especially complex analysis. This text was reviewed by William Fogg Osgood for the Bulletin of the American Mathematical Society. This led to its translation in English by Earle Raymond Hedrick published by Ginn and Company. Goursat also published texts on partial differential equations and hypergeometric series."
Édouard Herriot,"Édouard Marie Herriot (5 July 1872 – 26 March 1957) was a French Radical politician of the Third Republic who served three times as Prime Minister and for many years as President of the Chamber of Deputies. Hérriot was born at Troyes, France. He served as Mayor of Lyon from 1905 until his death, except for a brief period from 1942 to 1945, when he was exiled to Germany for opposing the Vichy regime. As mayor, Herriot improved relations between municipal government and local unions, increased public assistance funds, and launched an urban renewal programme, amongst other measures. He died in Lyon, where he is buried at the Cimetière de Loyasse."
Élie Barnavi,"Élie Barnavi (born 1946) is an Israeli historian and diplomat, who was the Israeli ambassador to France between 2000 and 2002. Born in Bucharest he moved as a child to Tel Aviv, Israel. He has written several books on French and European history."
Élie Doté,Élie Doté (born 1947?) was Prime Minister of the Central African Republic from June 2005 to January 2008.
Émile Biayenda,"Émile Biayenda (1927 – March 22, 1977) was the archbishop of Brazzaville, Congo from 1971 to 1977, and a Cardinal of the Roman Catholic Church. He was born in Mpangala, Vinza, where he grew up. He was ordained a priest in 1958, consecrated a bishop in 1970, and elevated to cardinal in 1973."
Émile Boutroux,"Étienne Émile Marie Boutroux (July 28, 1845 – November 22, 1921) was an eminent 19th century French philosopher of science and religion, and an historian of philosophy. He was a firm opponent of materialism in science. He was a spiritual philosopher who defended the idea that religion and science are compatible at a time when the power of science was rising inexorably. His work is overshadowed in the English-speaking world by that of the more celebrated Henri Bergson. He was elected membership of the Academy of Moral and Political Sciences in 1898 and in 1912 to the Académie française."
Émile Gaboriau,"Émile Gaboriau (November 9, 1832 – September 28, 1873), was a French writer, novelist, and journalist, and a pioneer of modern detective fiction."
Émile Meyerson,"Émile Meyerson (12 February 1859 – 2 December 1933) was a Polish-born French epistemologist, chemist, and philosopher of science. Émile Meyerson was born in Lublin, Poland. He died in his sleep of a heart attack at the age of 74. Meyerson was educated in Germany and studied chemistry under Robert Wilhelm Bunsen. In 1882 Meyerson settled in Paris. He served as foreign editor of the Havas news agency, and later as the director of the Jewish Colonization Association for Europe and Asia Minor. He became a naturalized French citizen after World War I. Thomas Kuhn cites Meyerson's work as influential while developing the ideas for his main work The Structure of Scientific Revolutions."
Émile Nelligan,"Émile Nelligan (December 24, 1879 – November 18, 1941) was a francophone poet from Quebec, Canada."
Émile Ollivier,"Olivier Émile Ollivier (2 July 1825 – 20 August 1913) was a French statesman. Starting as an avid republican opposed to Emperor Napoleon III, he pushed the Emperor toward liberal reforms and in turn came increasingly into Napoleon's grip. He entered the cabinet and was the prime minister when Napoleon fell."
Émilie Gamelin,"Émilie Tavernier Gamelin, S.P. , (19 February 1800 – 23 September 1851) was a French Canadian social worker and Roman Catholic Religious Sister. She is best known as the foundress of the Sisters of Providence of Montreal. In 2001 she was beatified by Pope John Paul II."
Éric Boullier,"Éric René Boullier (born 9 November 1973) is a French motor racing engineer and manager, currently the team principal of Lotus F1 currently competing in the Formula One World Championship and is vice chairman of FOTA."
Éric Dazé,"Éric Dazé (born July 2, 1975) is a retired Canadian professional ice hockey winger who played for the Chicago Blackhawks of the National Hockey League for eleven seasons."
Éric Desjardins,"Éric Desjardins (born June 14, 1969) is a Canadian former professional ice hockey defenceman who played 17 seasons in the National Hockey League (NHL) with the Montreal Canadiens and Philadelphia Flyers. He won the Stanley Cup with Montreal in 1993 and headlined the Flyers defence for over a decade. He currently works for his own business."
Étienne Daho,"Étienne Daho (born January 14, 1956 in Oran, French Algeria) is a French singer, songwriter and record producer who has released a number of synth-driven and rock-surf influenced pop hit singles since 1981."
Étienne Laspeyres,"Ernst Louis Étienne Laspeyres (November 28, 1834 – August 4, 1913) was Professor ordinarius of economics and statistics or State Sciences and cameralistics (public finance and administration) in Basel, Riga, Dorpat (now Tartu), Karlsruhe, and finally for 26 years in Gießen. Laspeyres was the scion of a Huguenot family of originally Gascon descent which had settled in Berlin in the 17th century, and he emphasised the Occitan pronunciation of his name as a link to his Gascon origins. Laspeyres is mainly known today for his 1871 development of the index number formula method for determining price increases, used for calculating the rate of inflation. A type of this calculation is known today as the Laspeyres Index. In addition to his accomplishments in price indices, Laspeyres may be counted as one of the fathers of business administration as an academic-professional discipline in Germany, and as one of the main unifiers of economics and statistics by “developing ideas which are today by and large nationally and internationally reality: quantification and operationalization of economics; expansion of official statistics; cooperation of official statistics and economic research; and integration of the economist and the statistician in one person. ” (Rinne 1983) In economics, Laspeyres was to some extent a representative of the Historical School and certainly of Kathedersozialismus."
Étienne Lenoir,"Jean Joseph Étienne Lenoir also known as Jean J. Lenoir (12 January 1822 – 4 August 1900) was a Belgian engineer who developed the internal combustion engine in 1858. Prior designs for such engines were patented as early as 1807, but none were commercially successful. Lenoir's engine was commercialized in sufficient quantities to be considered a success, a first for the internal combustion engine. He was born in Mussy-la-Ville. By the early 1850s he had emigrated to France, taking up residence in Paris, where he developed an interest in electroplating. His interest in the subject led him to make electrical inventions including an improved electric telegraph."
Étienne Tshisekedi,"Étienne Tshisekedi wa Mulumba (born 14 December 1932) is a politician who leads the Union for Democracy and Social Progress (UDPS), a political party in the Democratic Republic of the Congo (DRC). A long-time opposition leader, he served as Prime Minister of the country on three brief occasions: in 1991, 1992–1993, and 1997. Tshisekedi has been the primary Congolese opposition leader for decades. Although he served in the government of dictator Mobutu Sese Seko in various positions, he also led the campaign against Mobutu, and was one of only a few politicians who challenged that dictator. Tshisekedi and his UDPS party boycotted the 2006 elections organized in Congo claiming that the elections were fraudulent and were already systematically rigged in advance. He was a candidate for President of Congo in the 2011 elections that many national and international observers, notably the Carter Center, have said lacked credibility and transparency. Having officially lost to incumbent Joseph Kabila, Tshisekedi nevertheless declared himself the ""elected president"" of Congo. Policemen and Kabila's presidential guards were subsequently stationed at every corner that gives entrance to Tshisekedi's residence, placing him under unofficial house arrest."
"Íñigo Melchor de Velasco, 7th Duke of Frías","Íñigo Melchor Fernández de Velasco, 7th Duke of Frías, Grandee of Spain, (c. 1635 – 27 September 1696), was a Spanish nobleman and Governor-General of the Spanish Netherlands."
Ömer Seyfettin,"Ömer Seyfettin, also Omer Seyfeddin, (March 11, 1884, Gönen – March 6, 1920, Istanbul) was a Turkish nationalist writer from late 19th to early 20th century, considered to be one of the greatest modern Turkish authors. His work is much praised for simplifying the Turkish language from the Persian and Arabic words and phrases that were common at the time."
Čeněk of Wartenberg,"Čeněk of Wartenberg (Czech: Čeněk z Vartemberka; German: Vinzenz von Wartenberg; c. 1379 – 17 September 1425) was a commander of the Royalist Bohemian forces at the start of the Hussite Wars. Up until the first half of 1420 he was a commander of the Utraquist League, a moderate fraction of the Hussite movement. As a result of severe atrocities committed by Taborites, members of the more radical part of this movement, he returned to the royalist/Catholic side."
Đura Horvatović,"Đura Horvatović was a Serbian general and military minister. From the Austrian army with the rank of lieutenant, he joined to the Serbian Army in 1862. He distinguished himself in the First Serbian-Turkish War 1876-77, in which he commanded as a lieutenant colonel of Knjaževac army. He was promoted to colonel and took command of the 4th Corps, whose part in the battle of Šumatovac attacked the right flank of the Turkish army and contributed to the victory of the Serbian army. In the Second Serbian-Turkish War 1877-78 he commanded the corps of Timok, with which on 24 December 1877 took Bela Palanka. Four days later in conjunction with Šumadija corps he took Pirot as well. From 1881-85 he was a deputy in St. Petersburg, then commander of the active Army and its Minister 1886-87."
İlhan Usmanbaş,"İlhan Usmanbaş (born 28 September 1921) is a Turkish composer. Born in Istanbul, Usmanbaş grew up in Ayvalık. When he was twelve years old, his elder brother gave him a cello, and began to teach himself to play. After moving back to Istanbul, he studied the cello seriously. His maths teacher, a lover of music, advised Usmanbaş to give up the career that he had planned for himself: ""We have enough engineers in Turkey. You should be a composer instead. "" After graduating from Galatasaray High School, Usmanbaş went on to study under members of the Turkish Five – Cemal Reşit Rey, Ahmet Adnan Saygun, Hasan Ferit Alnar, Ulvi Cemal Erkin, and Necil Kazım Akses – and David Zirkin, at Ankara State Conservatory. In 1952, he went to the United States on a UNESCO scholarship, where he came under the influence of American pioneers of new and experimental music. In 1955 he received a FROMM Music Award, in 1971 he became a State Artist; in 1993 he received a gold medal from the Sevda Cenap And Foundation, in 2000 Boğaziçi University awarded him an honorary doctorate, and in 2004 he was presented with a Lifetime Achievement Award at the 32nd Istanbul International Music Festival, he is professor of Music at Istanbul Bilgi University. Usmanbaş is an experimental composer, one of the second generation of Turkish composers, coming after the Five (and opposed to their ideas). He works with a freedom of form and a concentration on intensity rather than melody, with techniques that include neo-classicism, aleatoric music, twelve tone, serialism, and minimalism. He has composed nearly 120 works, and has won more foreign awards and citations than any other Turkish composer, including commissions from the Koussevitzky foundation in the United States, and prizes from the Wieniawski competition in Poland, the International Composers Tribune in Paris, and the International Competition for Ballet Music in Switzerland. Usmanbaş is married to opera singer Atıfet Usmanbaş."
İlkay Gündoğan,"İlkay Gündoğan (born 24 October 1990) is a German footballer of Turkish descent who plays for Bundesliga club Borussia Dortmund and the Germany national team as a midfielder, having previously played for VfL Bochum and 1. FC Nuremberg."
İpek Şenoğlu,"İpek Şenoğlu (born June 8, 1979, in Eskişehir), nicknamed İpeko, is a Turkish tennis player. Şenoğlu first made history in June 2004 when she was accepted into the women's doubles qualifying for Wimbledon. Though İpek did not advance into the main draw of Wimbledon, she became the first Turk ever to play in a qualifying tournament for a Grand Slam event. Later that year, she became the first Turk to appear in the main draw of a Grand Slam event, when she and partner Laura Granville reached the third round of the US Open doubles. On May 15, 2005 at 7.00 local time, Venus Williams played a show game with Şenoğlu on the Bosporus Bridge in Istanbul, Turkey, the first tennis match ever to be played across two continents. The event was organized as a promotion ahead of the 2005 Istanbul Cup and lasted five minutes only on the north side of the bridge. After the exhibition, they both threw a tennis ball into the Bosporus. She and partner Yaroslava Shvedova reached the semifinals of the 2009 Rome Masters tournament, a WTA Premier event. Following this event, İpek's WTA doubles rank rose to # 76. Her peak doubles rank to date has been #62, following the 2009 Wimbledon Championships."
İsmet İnönü,"Mustafa İsmet İnönü (24 September 1884 – 25 December 1973) was a Turkish Army General, Prime Minister and the second President of Turkey. In 1938, the Republican People's Party gave him the title of ""Milli Şef"" (National Chief)."
Ľubomír Reiter,"Ľubomír (""Ľuboš"") Reiter is a former Slovak football striker and currently manager of MŠK Tesla Stropkov. Reiter played for Tatran Prešov (1996–99) and MŠK Žilina (1999–2002) in his native Slovakia and then for Sigma Olomouc (2001–05) or Slavia Prague (2007) in the Czech Republic. He scored 15 goals in the 2003-04 season, finishing among the Czech league's top scorers. In 2005, he came to Major League Soccer and the Chicago Fire. However, his season with the Fire was a disappointment, as he only scored three goals and left MLS to go back to his native Slovakia. At the time of his signing by the Fire, Reiter was a current Slovak international, a rarity for European players in MLS. He had been capped 25 times for his country, scoring eight goals. Reiter was a regular during Slovakia's 2006 World Cup qualification campaign."
Ľubomíra Kurhajcová,"Ľubomíra Kurhajcová is a Slovak female professional tennis player. She reached her career high singles ranking of No. 59 on 24 May 2004. Although she never passed the first round of a Grand Slam in seven appearances, she did get close at the 2004 French Open when she led Lisa Raymond 6–0, 5–0 in the first round and held two match points, only to lose the match 0–6, 7–5, 6–3. She reached her first ever WTA Tour final at the Pattaya Women's Open in 2003, but lost there to her compatriot Henrieta Nagyová. In doubles she is a two-time runner-up, losing the 2004 Internazionali Femminili di Palermo final (teaming up with Nagyová) and the 2005 Copa Colsanitas final with Barbora Záhlavová-Strýcová."
Ľudo Ondrejov,"Ľudo Ondrejov (October 19, 1901 in Slanje, present day Croatia – March 18, 1962 in Bratislava, Czechoslovakia) was a Slovak poet and prose writer."
Świętosława of Poland,Świętosława of Bohemia or Świętosława of Poland (Czech: Svatava Polská) was the third wife of Duke (later King) Vratislaus II of Bohemia and the first Queen of Bohemia as of 1085.
Şebnem Ferah,"Şebnem Ferah is a Turkish singer, song-writer, composer and guitarist. She was the lead vocalist of the all-female hard rock band Volvox until 1994, after which she went on to pursue an illustrious solo career. Her music style varies from pop rock to hard rock though her later albums have progressively incorporated more of the hard rock sound."
Şivan Perwer,"Şivan Perwer (born on September 23, 1955 in Sarıdam, Siverek, Turkey as İsmail Aygün) is a Kurdish poet, writer, musical teacher, singer, and performer on the tembûr. Şivan lives in exile after fleeing Turkey in 1976 because of his music."
Šaban Bajramović,"Šaban Bajramović (Romani: Shaban Bayramovic; April 16, 1936 – June 8, 2008) was a Serbian-Romani musician."
Šimon Pánek,"Šimon Pánek (born December 27, 1967) is a former Czech student activist during the Velvet Revolution in 1989 and today the executive director of the humanitarian organization People in Need (Člověk v tísni), which he co-founded in 1992. People in Need (PIN) became the biggest non-governmental organisation in Central and Eastern Europe and works worldwide to mitigate the suffering of people in times of crisis. For its international and national effort, PIN has become highly respected in the Czech Republic and abroad."
Štěpán Kučera,Štěpán Kučera (born 11 June 1984 in Prague) is a Czech footballer who plays as a defender for FC Tobol in Kazakhstan Premier League.
Štefan Füle,"Štefan Füle (24. May 1962 in Sokolov) is a Czech diplomat, since 2009 European Commissioner for Enlargement and European Neighbourhood Policy in the second Barroso Commission."
Štefan Moyses,"PhDr. Štefan Moyses (other name Štefan Moyzes or Hungarian Moyzes István) (October 24, 1797, Veselé – July 5, 1869, Žiar nad Hronom) was Slovak bishop of Roman Catholic Diocese of Banská Bystrica, teacher, patriot, co-founder and first chairman of Matica slovenská."
Štefan Osuský,JUDr. Štefan Osuský was an Austro-Hungarian born Slovak politician and diplomat.
