name,description
Æthelwold מזרח אנגליה, 
כגן Irmak, 
ערב קירי,ערב דניס קירי להבואז ( 6 דצמבר 1904 - 22 אוקטובר 2007) היהסופר
אדגר בארטו,אדגר אוסבלדו ברטו קאסרס (נולד 15 יולי 1984באסונסיון ) הוא כדורגלן פרגוואי שמשחק כיוםלליגה איטלקיתמועדון פאלרמו . 
אדוארד - אלפרד מרטל,אדוארד - אלפרד מרטל 
אדואר אדולף קזימיר יוסף Mortier,אדואר אדולף קזימיר יוסף Mortier 
אדואר Chatton,אדואר Chatton (נולד 1883 ; מת 1947
אדוארד קורטס,קורטס אדואר לאון (1882-1969) היה אמן פוסט אימפרסיוניסטי צרפתי ממוצא הצרפתיוספרדי. 
אדואר Goursat,אדואר Jean-Baptiste Goursat ( 21 מאי 1858 - 25 נובמבר 1936) היהמתמטיקאי צרפתי 
אדואר אריו,אדוארד הריוט מארי ( 5 יולי 1872 - 26 מרץ 1957) היה פוליטיקאי רדיקלי צרפתי של הרפובליקה השלישית שכיהן שלוש פעמים כראש ממשלהובמשך שנים רבות כנשיאבית הנבחרים . 
אליי בר נביא,אליי בר נביא (נולד 1946) הואהיסטוריון ישראליודיפלומט
Élie Dote,Élie Dote (נולד 1947? ) הייתה ראש הממשלה של רפובליקת המרכז האפריקאיתמיוני 2005 עד ינואר 2008.
אמיל Biayenda,אמיל Biayenda (1927 - 22 מרץ 
אמיל Boutroux,אטיין אמיל מארי Boutroux ( 28 יולי 1845 - 22 נובמבר 1921 ) היהפילוסוף דגול המאה -19 צרפתי של מדע ודת
אמיל Gaboriau,אמיל Gaboriau (9 בנובמבר 1832 - 28 ספטמבר 1873 ) 
אמיל מאירסון,אמיל מאירסון ( 12 פבואר 1859 - 2 דצמבר 1933 ) היהepistemologist יליד פולין צרפתית
אמיל Nelligan,אמיל Nelligan ( 24 דצמבר 1879 - 18 נובמבר 1941) היה משורר צרפתייםמקוויבק
אמיל Ollivier,אוליבייה אמיל Ollivier ( 2 יולי 1825 - 20 באוגוסט 1913) היה מדינאי צרפתי. 
אמילי גמלין,אמילי Tavernier גמלין 
אריק Boullier,אריק רנה Boullier (נולד ב 9 נובמבר 1973 ) הואמהנדס צרפתי מוטורי מירוץ ומנהל 
אריק Daze,אריק Daze (נולד ב 2 יולי 1975 ) הואקיצוני בדימוס קנדי מקצועי הוקי קרח ששיחק עבורשיקגו בלקהוקס שלהוקי הליגה הלאומית לעשר עונות.
אריק Desjardins,אריק Desjardins (נולד 14 יוני 1969 ) הואdefenseman קנדי לשעבר מקצועי הוקי קרח ששיחק 17 עונותבליגה הלאומית להוקי (NHL ) עםמונטריאול קנדיאנסופילדלפיה פליירס . 
אטיין Daho,אטיין Daho (נולד 14 ינואר 1956 באוראן 
אטיין ספייר,ארנסט לואי אטיין ספייר ( 28 נובמבר 1834 - 4 אוגוסט 1913 ) הייתה פרופסור ordinarius של כלכלה וסטטיסטיקה או מדעי המדינהוcameralistics (מימוןומנהל ציבורי ) בבאזל 
אטיין לנואר,ז'אן יוסף אטיין לנואר ידוע גם בשם ז'אן ג' Lenoir ( 12 ינואר 1822 - 4 אוגוסט 1900) . היה מהנדס בלגי שפיתח את מנוע הבעירה הפנימי בשנת 1858 עיצובים לפנילמנועים כאלה היו פטנט מוקדם ככל 1807
אטיין Tshisekedi,אטיין Tshisekedi wa Mulumba (נולד 14 דצמבר 1932 ) הואפוליטיקאי שמוביל את האיחוד לדמוקרטיה וקדמה חברתית ( UDPS ) 
Íñigo Melchor דה ולסקו ,Íñigo Melchor פרננדס דה ולסקו 
Čeněk של Wartenberg,Čeněk של Wartenberg (צ : Čeněk z Vartemberka ; הגרמני : . Vinzenz פון Wartenberg ; ג 1379 - 17 ספטמבר 1425) היהמפקד הכוחות המלוכנים הבוהמי בתחילתההוסיטים המלחמות . 
Djura Horvatović,Djura Horvatović היה שר כללי וצבאי סרבי. 
Ilkay Gundogan,Ilkay Gundogan (נולד 24 אוקטובר 1990 ) הוא כדורגלן גרמני ממוצא תורכי שמשחק עבור מועדון הבונדסליגה בורוסיה דורטמונד ובנבחרת גרמניה כקשר אחורי 
איפק Şenoğlu,İpek Senoglu (nascido em 08 de junho de 1979 
איסמט Inonu,מוסטפא איסמט Inonu ( 24 ספטמבר 1884 - 25 דצמבר 1973) היהגנרל בצבא תורכי
Ľubomír רייטר,Ľubomír ( \ Ľuboš \ ) רייטר הואחלוץ לשעבר סלובקי כדורגלוכיום מנהל MŠK טסלה סטרופקוב . 
לודו Ondrejov,לודו Ondrejov (19 באוקטובר 1901 בSlanje 
Świętosława של פולין,Świętosława של בוהמיה או Świętosława של פולין (צ : Svatava Polska) הייתה אשתו השלישית של הדוכס ( לימים המלך ) Vratislaus השני של בוהמיהוהמלכה הראשונה של בוהמיהכ1085 .
Sebnem Ferah,Sebnem Ferah הוא זמר תורכי
סיון Perwer,סיון Perwer (נולד יום 23 בספטמבר 1955 בSarıdam 
סבן Bajramović,סבן Bajramović ( רומני : שבן Bayramovic ; 16 אפריל 1936 - 8 ביוני 2008) היה מוסיקאי סרבי - רומאנים .
Šimon Panek,Šimon Panek (נולד 27 דצמבר 1967 ) הוא פעיל לשעבר צ'כי תלמיד במהלךמהפכת הקטיפה בשנת 1989והיוםמנכ\להאנשים הארגון ההומניטריים בצורך ( tísni v Člověk ) 
Štěpán Kucera,Štěpán Kucera (נולד 11 יוני 1984 בפראג ) הוא כדורגלן צ'כי שמשחק כמגןלFC טובול בקזחסטן ליגת העל .
Štefan fule,Štefan fule ( 24 . מאי 1962בסוקולוב ) הואדיפלומט צ'כי
Štefan מויסז,PhDr . 
A.C. ריד,אהרון Corthen 
א ' ב' ספלמן,( Lfred ) . 
א ' ב' יהושע,אברהם ב ' יהושע הואסופר ישראלי 
א ד תקווה,אלק Derwent התקווה AC OBE ( 21 יולי 1907 -13 יולי 2000) היהמשורר אוסטרלי ומסאי ידוע באלכסון הסאטירי שלו . 
א ' א' ויילדר - סמית,ארתור ארנסט ויילדר - סמית
א ' ג' קוק,אנדריאה ג'וי קוק ( נולד ב -22 יולי 1978) הואשחקנית קנדית הידועה ביותר עבור תפקידה \ ג'יי ג'יי \ פיקוח הסוכן המיוחד ג'ניפר Jareauבמחשבות פליליות דרמת פשע הלשכה המרכזית לסטטיסטיקה . 
א י EDDS,AJ EDDS (נולד 18 ספטמבר 1987 ) הואשחקן פוטבול פוטבול אמריקאילאינדיאנפוליס קולטס של ליגת הפוטבול הלאומי ( NFL). 
א ' ג' ליבלינג,אבוט יוסף \ AJ \ ליבלינג ( 18 אוקטובר 1904 - 28 דצמבר 1963) היהעיתונאי אמריקאי שהיה קשור באופן הדוק עםניו יורקר מ 1935 עד מותו.
א י Quinnell,AJ Quinnell היה שם העט של סופר המותחן האנגלי פיליפ ניקולסון. 
א לי מרטינז,א לי מרטינז הואפנטזיה אמריקנית וסופר המדע בדיוני. 
א ' מריט,אברהם גרייס מריט ( 20 בינואר 21 1884 אוגוסט
א פיליפ רנדולף,א פיליפ רנדולף ( 15 אפריל 1889 - 16 מאי 
אהרן בר, 
אהרון גריי,אהרון מייקל גריי (נולד ב 7 דצמבר 1984 מטרזנה 
אהרון יוז,אהרון ויליאם יוז (נולד ב 8 נובמבר 1979 ) הוא כדורגלן אירי צפון שמשחק כמגןלפולהאם . 
אהרון האנט,אהרון האנט (נולד ב 4 ספטמבר 1986בגוסלאר ) הוא כדורגלן גרמני שמשחק עבור ורדר ברמן .
אהרון פול,אהרון פול (נולד אהרון פול Sturtevant ; 27 אוגוסט 1979 ) הוא שחקן אמריקאי . 
אהרון סקוט ( כדורגלן ),אהרון ג'יימס סקוט (נולד 18 יולי 1986 ) הוא כדורגלן ניו זילנד שמשחקלצד NZFC Waitakere ארצותוייצג את ניו זילנד תחת 23 באולימפיאדהושיחקלצד הבכיר
אהרון סורקין, 
אהרון Tippin, 
עבאס סואן, 
אבי לינקולן,אנה מארי Wooldridge (6 באוגוסט 
אבי קורניש,אבי קורניש ( נולד ב -7 באוגוסט 1982) היא שחקנית אוסטרלית ידועה בהסרט ובטלוויזיה בתפקידים 
עבד אל והאב אל - Bayati,עבד אל והאב אל - Bayati ( 19 דצמבר 1926 - 3 אוגוסט 1999 ) היהמשורר עיראקי. 
עבדל רחמן Swar אל דהב,פילדמרשל עבד אל רחמן Suwar אל דהב ( הידוע גם בSuwar אל דהב או אל דהב ; נולד 1934) היהנשיא סודן מ 6 אפריל 
עבדלעזיז Ahanfouf,עבדלעזיז \ עזיז \ Ahanfouf (נולד ב 14 ינואר 1978) הוא כדורגלן גרמני ששיחק מרוקאי שעברהלSV דרמשטט 98.
Abdeljalil הייתי מוכרחים,Abdeljalil הייתי מוכרח 
עבדלקאדר Ghezzal,עבדלקאדר מוחמד Ghezzal הואכדורגלן אלג'יראי . 
Abdol חוסיין מירזה Farmanfarma,הנסיך Abdol חוסיין מירזה (כ 1859-1939 ) הייתה אחדמהנסיכים הקאג'אריות הבולטים ביותר 
עבדול עזיז אל חכים,עבדול עזיז אל חכים ( 1953-1926 אוגוסט 2009) היה תיאולוגעיראקי ופוליטיקאיומנהיג המועצה האסלאמית העליונה של עיראק
עבדול רחמן עריף,חאג' עבדול רחמן מוחמד עריף Aljumaily (ערבית عبد الرحمن محمد عارف الجميلي ` עבד אל רחמן ` עריף ) (1916 - 24 אוגוסט 2007) היההנשיא השלישי של עיראק מ16 אפריל 1966ל17 יולי 1968 .
עזיז אל עומרי,עזיז אל עומרי היו שומר סעודי אבטחה בשדות תעופהואימאם 
עבדאללה אחמד בדאווי,טון עבדאללה בן חאג'י אחמד בדאווי (נולד ב 26 נובמבר 1939) הוא פוליטיקאי מלזי שכיהן כראש ממשלת 2003-2009 . הוא היה גםנשיאהארגון הלאומי של ארצות המאלאים ( UMNO ) 
Abdulsalami אבובאקאר,הכללי Abdulsalami Alhaji אבובאקאר ( rtd. ) ( נולד ב -13 יוני 1942) הואבכלל ניגרי שהיה נשיא ניגריהמ9 יוני 1998 עד ליום 29 מאי 1999. הוא הצליח סאני אבאצ'ה על מותו של אבאצ'ה . 
עבדורחמן Sharafkandi,Este artigo é sobre o poeta curdo . 
עבדורחמן וחיד,עבדורחמן וחיד 
אייב אטל,אברהם וושינגטון \אייב \ אטל (22 בפברואר 1883 - 7 פבואר 1970 ) 
אייב פורטס,אברהם \אייב \ פורטס ( 19 יוני 1910 - 5 באפריל 
הבל Alier,הבל Alier קוואי (נולד 1933) הוא פוליטיקאי סודאני דרום שהיהב70sב2007. לאחר סודן קבל את עצמאותה מבריטניה בשנת 1956
הבל Carlevaro,הבל Carlevaro (1916-2001) היה שחקן וירטואוז 
הבל פ אפשור,הבל פארקר האפשור (17 ביוני 1790 - 28 פבואר 1844 ) היהעורך דין אמריקאי
הבל סלזר (שחקן),הבל סלזר ( 24 ספטמבר 1917 - 21 אוקטובר 
אבי טאקר,אביגיל אן \ אבי \ טאקר (נולד 22 ינואר 1973 ) הואהזמרת ושחקנית אוסטרלית . 
Ablai חאן, 
אברהם Beame,אברהם דוד \אייב \ Beame ( 20 מרס 1906 - 10 פברואר 
אברהם קלארק, 
אברהם יחזקאל טאוב,אברהם יחזקאל טאוב ( 1 פבואר 1911 - 9 באוגוסט 
אברהם קליין ( פיזיקאי ),אברהם קליין ( 10 ינואר 1927 - 20 ביוני 2003) היהפיזיקאי תיאורטי אמריקאי. 
ואן דן אברהם Lambertsz Tempel,אברהם דן טמפל ואן ( c.1622 - 8 אוקטובר 1672 ) היה צייר תור זהב הולנדי.
אברהם Vater, 
אבו מנסור Maturidi,מוחמד אבו מנסור אל - Maturidi (AD 853 - 333 AH / 944 לספירה) היהתיאולוג פרסי מוסלמי 
אבו נידאל, 
אבו טאלב (מוסיקאי),אבו טאלב (נולדכפרד הירוי רובינסוןוידוע בעבר כפרדים או פרדי רובינסון ; 24 פבואר 1939 - אוקטובר 8
לוקאס ACA,אלכסנדר Vuksanović 
אקא של הקסהאם, 
אייס ביילי,אירווין וואלאס \ אייס \ ביילי (3 ביולי 1903 - 7 אפריל 1992 ) הייתהשחקן הוקי קרחשהתחרה עלטורונטו מייפל ליפס במהלך שמונה עונות 
אקילה Liénart,אקילה Liénart (7 בפברואר 1884-1815 פבואר 1973 ) היהקרדינל צרפתי של הכנסייה הקתולית. 
אקר Bilk,ברנרד סטנלי \ אקר \ Bilk MBE (נולד 28 ינואר 1929 ) הואקלרניתן אנגלית. 
מודעת Melkert, 
עדה יונת,עדה א ' יונת (נולד 22 יוני 1939 ) היאגבישים ישראליים ידועים בעיקר בזכות עבודתה החלוציתבמבנה של הריבוזום . 
האדם ארקין,האדם ארקין (נולד 19 אוגוסט 1956 ) הוא שחקן טלוויזיה
האדם Asnyk,האדם Asnyk ( 11 ספטמבר 1838 - 2 באוגוסט 1897) 
אדם ברודי,אדם ג'ארד ברודי (נולד ב 15 דצמבר 1979 ) הוא שחקן קולנוע וטלוויזיה אמריקאי ומוסיקאי במשרה חלקית. 
אדם משאבי אנוש,אדם קדר (נולד פבואר 5
אדם קארי,האדם קלארק קארי הואקריין 
אדם אמונה,טרנס \טרי \ Nelhams - רייט 
האדם פוט,אדם דוד ורנון פוט (נולד 10 יולי 1971 ) הואdefenseman מקצועי קנדי בדימוס הוקי קרח. 
האדם הול,האדם הול (נולד 14 אוגוסט 1980 ) הואשחקן אמריקאי מקצועי הוקי קרחשכיום משחק עבורפילדלפיה פליירס של הליגה הלאומית להוקי ( NHL). 
האדם היקס,האדם פול נילסון היקס (נולד 28 נובמבר 1992 ) הוא שחקן אמריקאי 
האדם יז'י צ'רטוריסקי,נסיך האדם יז'י צ'רטוריסקי ( ליטאי : Аdomas יורגיס Čartoriskis 
האדם Maida,האדם יוסף Maida (נולד 18 מרס 1930 ) הואקרדינל אמריקאי של הכנסייה הקתולית . 
האדם מאליק,Para o tenista da Malásia 
האדם מקיי,האדם מקיי (נולדה ב -17 אפריל 1968) היאתסריטאי אמריקאי 
האדם נימוי,האדם ב ' נימוי (נולד ב 9 אוגוסט 1956 ) הוא במאי טלוויזיה אמריקאי. 
האדם אוטס,האדם אוטס (נולד 27 אוגוסט 1962 ) הוא שחקן קנדי לשעבר הוקי קרח מקצועיומאמן הנוכחי שלוושינגטון קפיטלס של הליגה הלאומית להוקי ( NHL). 
האדם Ondra,האדם Ondra (נולד פבואר 5
האדם ריס,האדם ריס (1492 - 30 מרס 1559 ) היה מתמטיקאי גרמני. 
האדם Robak,האדם Robak (נולד 16 יולי 1957 ) הואסייף פולני. 
אדם המערבי,ויליאם מערב אנדרסון (נולד 19 ספטמבר 1928 )
אדם שווה,אדם שווה (1844 - 8 ינואר 1902 ) היהפושע אמריקאי. 
האדם ויילי,האדם אוגוסטוס ויילי ( במאי נולד 23
האדם Yauch,האדם נתניאל Yauch היהראפר אמריקאי 
Adarnase הרביעי של איבריה,Adarnase IV (נפטר 923 ) היה חבר בשושלת הגרוזיני Bagratid של טאו
עאדל טוויל,עאדל טוויל 
אדלה פירנצה ניקולסון,אדלה פירנצה ניקולסון ( קורי לבית ) (9 באפריל 1865-4 אוקטובר 1904 ) היה משורר אנגלי שכתב תחת שם העט לורנס התקווה .
אדלה רוג'רס סנט ג'ונס,אדלה רוג'רס סנט ג'ונס (נולדה אדלה נורה רוג'רס ; 20 מאי 1894 - 10 אוגוסט 1988 ) הייתה עיתונאית אמריקאי 
אדלהוIrmina,סנט אדלה ( - ? 735 )וסנט Irmina ( - ? . ג 716 ) היו שתי נסיכות 
אדלה של מייסן,אדלה של מייסן ( גם אדלהייד או אדל ) (נפטר 23 אוקטובר 1181 ) הייתהזוגה דנית מלכה 
אדלה לנורמנדי,Também Adelaide da Normandia irmã de Guilherme I de Inglaterra. 
אדלייד,Por outro santo Adelaide 
אדלהייד של מייסן,אדלהייד של מייסן (כ 1160 - 2 פברואר 1211) היהזוג המלכה הראשון של אוטוקאר אני בוהמיה .
אדלין ין Mah,אדלין ין Mah הואסופר אמריקאי סיניורופא. 
עדי שמיר,עדי שמיר הואמפענח צפנים בישראל. 
עדיל עבדול הדי,עדיל עבדול מהדי אל - Muntafiki הואפוליטיקאי שיעי עיראקי 
עדלי סטיבנסון,עדלי יואינג סטיבנסון הראשון ( 23 אוקטובר 1835 - 14 ביוני 1914) כיהןכסגן נשיא 23rd של ארצות הברית. 
עדנאן מנדרס,עדנאן מהנדרס (1899 - 17 ספטמבר 
עדנאן Pachachi,עדנאן אל - Pachachi או עדנאן Muzahim Ameen אל - Pachachi (14 מאי נולד
אדולף הבל,אדולף וילהלם הבל (18 באוקטובר 1914-1926 אוגוסט 1944) היהאוברסט המעוטר ביותר בוורמאכט במלחמת העולם השני . 
אדולף Böttger,אדולף Böttger (נולד 21 מאי 1815 בלייפציג ; מת 16 נובמבר 1870בGohlis 
אדולף להטביל,אדולף להטביל ( 7 אוגוסט 1811 - 13 יולי 1883 ) היהHofschauspieler בוואריה 
אדולף דיטריך,אדולף דיטריך ( 9 נובמבר 1877 - 4 ביוני 1957) היה פועל בשוויץו
אדולף Hütter,Ele não nasceu em 2 de novembro de 1970. Ele nasceu em 11 de fevereiro de 1970. Adolf Hütter {{
אדולף היינריך פון ארנים - Boitzenburg,אדולף היינריך גרף ארנים - Boitzenburg ( 10 אפריל 1803 - 8 ינואר 1868) היה מדינאי גרמני
אדולף הרביעי של הולשטיין,אדולף IV (לפני 1
אדולף קרל לודוויג קלאוס,אדולף קרל לודוויג קלאוס ( 6 יוני 1838 - 4 מאי 1900) הייתה כימאי גרמני. 
אדולף אוברלנדר,האדם אדולף אוברלנדר (1 באוקטובר 1845
אדולף Ogi,אדולף Ogi (נולד 18 יולי 1942 ) הוא פוליטיקאי שוויצרי מהכפר Kandersteg בהרי האלפים השוויצריים. 
אדולף Raegener,אדולף Raegener ( 17 פבואר 1895 - 17 באוגוסט 1983) היהגנרל מעוטר ביותר בוורמאכט במלחמת העולם השני . 
אדולף Sieverts,אדולף פרדיננד Sieverts ( 7 אוקטובר 1874 בהמבורג - 8 בינואר 1947 בJena ) היה כימאי גרמני
אדולף Tortilowicz פון Batocki - Friebe,מקסימום יוהן אוטו אדולף Tortilowicz פון Batocki - Friebe 
אדולף וו Edelsvärd,אדולף וילהלם Edelsvärd 28 (ביוני 1824-1815 1919 אוקטובר) היה אדריכל שוודי ששימש כאדריכל בראשלStatens Järnvägar 
אדולפו הטוב ביותר מוגארד,אדולפו הטוב ביותר מוגארד הידוע גם פייטתי בסט (11 ביוני 
אדולפו Nicolás,מאוד כומר אדולפו ניקולאס Pachón 
אדולפו Zumelzú,אדולפו Bernabé Zumelzú ( 5 ינואר 1902 - 29 מרץ 1973) היה שחקן כדורגל מארגנטינה. 
אדולפו דה לה פארה,אדולפו \ פייט \ דה לה פארה (נולד ב 8 פבואר 1946 
אדולף קולפינג,אדולף קולפינג (8 בדצמבר 1813 בKerpen - 4 דצמבר 1865 בקלן ) היהכומר קתולי גרמני
אדולף Strümpell, 
אדולף דשאן, 
אדולף Menjou,אדולף ז'אן Menjou ( 18 פבואר 1890 - 29 באוקטובר 1963) היהשחקן אמריקאי. 
אדולפוס בוש,קולונל אדולפוס בוש ( 10 יולי 1839 - 10 אוקטובר 1913 ) היהמייסד שותף יליד גרמניה של אנהויזר בוש עם אביו גיסה 
Adone זולי,Adone זולי ( 16 דצמבר 1887 - פברואר 20 1960) היהפוליטיקאי וחבר במפלגה הנוצרית הדמוקרטית איטלקים. 
Adoniram ג'דסון,Adoniram ג'דסון 
האדרים Granell,אדרי Granell Artal (נולד 13 מרס 1986 בוולנסיה ) 
אדריאן Blaauw, 
אדריאן Fokker, 
אדריאן Koonings,אדריאן Koonings (23 דצמבר 1895-1818 April 1963) 
אדריאן ואן Stalbemt,אדריאן או אדריאן ואן Stalbemt ( 12 יוני 1580 - 21 ספטמבר 1662 ) היה צייר בארוק פלמי .
אדריאן ואן דן שפיגל,אדריאן ואן דן שפיגל 
אדריאן ואן דה ולדה, 
אדריאן ואן דה Venne,אדריאן Pietersz van de Venne (1580 - 12 נובמבר 1662) 
אדריאן בורלנד,אדריאן בורלנד (6 בדצמבר 1957-1926 אפריל 1999) היההזמר באנגלית 
אדריאן גרנייה,אדריאן גרנייה (נולדה 10 יולי 1976 ) היא שחקן 
אדריאן גורביץ,Adrian Gurvitz (nascido Adrian Curtis Gurvitz 
אדריאן סברין, 
אדריאן סמית' ( אדריכל ),אדריאן ד סמית (נולד 19 אוגוסט 1944 ) היאאדריכל אמריקאישתכנן גורדי שחקים ובהם בורג' ח'ליפה 
אדריאנה Ozores,אדריאנה Ozores 
אדריאנו Malori,אדריאנו Malori (נולד ב 28 ינואר 1988 בפארמה ) הוארוכב אופני כביש מקצועי איטלקילUCI ProTeam Lampre - מרידה . 
אדריאן פרנסואה סרווה,אדריאן פרנסואה סרווה ( 6 יוני 1807 - 26 נובמבר 1866) הייתה אחדמהצ'לנים המשפיעים ביותר של המאה תשע עשרה . 
אדריאן קלרקסון, 
אדריאן ראש העיר, 
איזופוס רוק,איאן מתיאס Bavitz (נולד ב 5 יוני 1976 ) 
Afet ענאן, 
Affonso באטו,Affonso אנריקה באטו ( נולד ב -13 יולי 1941) הואצלם ברזילאי. 
Affonso אדוארדו ריידי,Affonso אדוארדו ריידי ( פריז 
אפונסו אני ,דום אפונסו אני מברגנצה ( 10 אוגוסט 1377 - 15 דצמבר 1461) היההדוכס הראשון מברגנצהוהרוזן השמיני של ארצלוס . 
אפריקה Bambaataa,אפריקה Bambaataa (נולד 19 אפריל 1957 ) הואDJ אמריקאימהדרום ברונקס 
אגנס של אוסטריה (1281-1364),אגנס של אוסטריה ( 18 מאי 1281 - 10 ביוני 1364
אגניישקה הולנד,אגניישקה הולנד (נולד ב 28 נובמבר 1948) הואסרט פולני ומנהל טלוויזיה ותסריטאי. 
אגוסטינו Casaroli,אגוסטינו Casaroli (24 נובמבר 1
אגוסטינו Depretis,אגוסטינו Depretis (31 בינואר 1813 - 29 יולי 1887 ) היהמדינאי איטלקי. 
אגריפס d' Aubigné,תאודור - אגריפס d' Aubigné (8 בפברואר 1552 - 29 אפריל 1630 ) היה משורר
אגוס סלים,חאג'י אגוס סלים (נולד Musyudul חאק ; 8 אוקטובר 1884 - 4 בנובמבר 1954) היו אחד מאבות המייסדים של אינדונזיה ודיפלומטים בולטים. 
אחמד Aali,אחמד Aali (פרסית : . احمد عالی 
אחמד אל חטיב,אחמד חסן אל חטיב (1933-1982) היה פוליטיקאי סורי. 
אחמד Niyazi ביי,אחמד Niyazi ביי ביי היההעותמאני של אזור Resneב-19 ותחילת המאה 20th . 
אחמד ואלי קרזאי,אחמד ואלי קרזאי ( פאשטו : احمد ولي کرزی 
אחמד אל Haznawi,אחמד איברהים אל Haznawi ( 11 אוקטובר 1980 - 11 ספטמבר 
אחמט Özhan,אחמט Özhan (נולד 26 Ağustos 1941) הוא זמרת בולטת טורקית קלאסית מוסיקה 
אחמט Ağaoğlu, 
אחמד דוואטולו,פרופ ' אחמד דוואטולו הואשר החוץ של טורקיה. 
אחמט קאיה,אחמט קאיה (28 באוקטובר 1957 - 16 נובמבר 2000 ) היא זמרת כורדיתמMalatya 
אחמט Kuru,אחמט קורו הוא כדורגלן תורכי. 
עי ( משורר ),פירנצה אנתוני ( 21 אוקטובר 1947 - 20 מרס 2010) היהמשורר אמריקאיומחנך שהשתנה באופן חוקי את שמה לעי אוגאווה . 
Ai ייוויי,Para o filme documentário sobre o artista
איידן שו,איידן שו הואסופר בריטי 
אייקו נקמורה,(נולד 28 דצמבר 1983 באוסקה ) 
Aimé ארגנד הגה,פרנסואה פייר עמי ארגנד הגה ( 5 יולי 1750 - 14 אוקטובר 1803 ) היה פיזיקאיוכימאי שוויצרי. 
איימתי Sommerfelt,איימתי Sommerfelt (8 April 1892-1975 ) היה סופר נורבגי של ספרי ילדים רביםורומנים למבוגרים צעירים. 
איימי מאן,איימי מאן (נולד ב 8 ספטמבר 1960 ) הואזמרת וכותבת שירים אמריקאי רוק
Aino אלטו, 
Aino לאוס,Aino לאוס (הידוע גם גודרון לאוס או לאוס) הוא זמר 
Aino טאובה,Aino טאובה ( 11 יולי 1912 - 11 יולי 1990 ) הייתה שחקנית קולנוע ותיאטרון שוודית. 
איינסוורת' ראנד Spofford,איינסוורת' ראנד Spofford ( 12 ספטמבר 1825 - 11 באוגוסט 1908) היהעיתונאי ומו\ל אמריקאים . 
איירס עלי,איירס Bonifácio בפטיסטה עלי (נולד ב 6 דצמבר 1955 ) הואראש הממשלה לשעבר של מוזמביק . 
אייסאם אול חאק קורשים, 
עיישה חליל,עיישה חליל היה חבר שלהאפריקאי האמריקאיקאפלה הרכב הדבש המתוקברוק מאז 1981. הופעותיהשל \ ראה ראה Rider \ ו \ פולאני מזמור \ זיכה אותה בתואר \ הסולן הטוב ביותר\ בשנת 1994מהעכשוויהקפלה 
Aitor גאלדוס,Aitor גאלדוס אלונסו הוארוכב אופני כביש מקצועי ספרדיתלצוות UCI המקצועי קונטיננטל Caja הכפרי .
Aitzaz אחסאן,Chaudhry Aitzaz אחסאן הואמדינאי שמאלני בולט ואינטלקטואלי 
אכבר האשמי רפסנג'אני,אכבר האשמי רפסנג'אני הואפוליטיקאי רב השפעה איראנית וסופר 
אכבר חאן,Amir Khan Akbar (1816-1845 ; Pashto : امير اکبر خان
אקי Takase,(נולד 26 ינואר 1948 באוסקה ) הוא
אקיקו מוריגאמי,אקיקו מוריגאמי (יפני :森 上 亜 希 子
אקיקו Suwanai,( 7 בפברואר נולד 1972) הואכנר קלאסי יפני. 
אקיקו Wakabayashi,אקיקו Wakabayashi היא שחקנית יפנית 
